Estabelecimento_ID,ZonaSP,Endereço,Latitude,Longitude
ChIJi31f_9pZzpQRLuEytX9Uq7o,Oeste,"R. Pres. Prudente, 117 - Jardim Paulista, São Paulo - SP, 01408-030, Brazil",-23.5699702,-46.6633365
ChIJc316FAdYzpQRPaRlbHRhKWA,Oeste,"Av. Marquês de São Vicente, 446 - Várzea da Barra Funda, São Paulo - SP, 01139-000, Brazil",-23.5215749,-46.6641253
ChIJ1T9G27EDzpQRvzc0iNV1YMs,Outro,"Av. Sen. Dantas, 344 - Estuário, Santos - SP, 11015-210, Brazil",-23.9623821,-46.3140422
ChIJVz438PpazpQRtawF8m-OgX4,Sul,"R. Guatapara, 191 - Vila Guarani, São Paulo - SP, 04310-040, Brazil",-23.6341098,-46.6405368
ChIJ_w4v8VRYzpQRgI85TJUcStk,Centro,"conj 11 primeiro andar, Largo do Café, 14 - Centro Histórico de São Paulo, São Paulo - SP, 01012-030, Brazil",-23.5462318,-46.6351014
ChIJs2-yL2NnzpQRMLioobsX5vo,Leste,"R. Ângelo Arloti, 53 - Cidade Líder, São Paulo - SP, 08280-640, Brazil",-23.5598582,-46.4814057
ChIJU2L0_CeAmQARO9eDslr1KZY,Outro,"Praia do Flamengo, 340 - primeiro Andar - Flamengo, Rio de Janeiro - RJ, 22210-065, Brazil",-22.9363915,-43.1744513
ChIJgZKK_Z1QzpQRAyss_2bhefo,Sul,"R. Vieira de Morais, 1183 - Campo Belo, São Paulo - SP, 04617-014, Brazil",-23.6227146,-46.6708904
ChIJEZNDqqVRzpQR9MyfB8-jNuI,Sul,"R. América Central, 301 - Santo Amaro, São Paulo - SP, 04755-010, Brazil",-23.6467513,-46.711398
ChIJ2RJETEdYzpQRPAQA0rUzgsM,Centro,"Rua Dona Veridiana, 14 - Vila Buarque, São Paulo - SP, 01238-010, Brazil",-23.5396833,-46.6504932
ChIJU85wPq7-zpQRAz13sT3bkXw,Oeste,"R. Jurubim, 927 - Vila Boacava, São Paulo - SP, 05170-100, Brazil",-23.4835872,-46.7540043
ChIJly3wj0hXzpQRuUtgMoo298A,Oeste,"R. Olimpíadas, 360 Shopping - Térreo - Loja 123/124 - Vila Olímpia, São Paulo - SP, 04551-000, Brazil",-23.595596,-46.6866818
ChIJq9ukJ6RZzpQRaysBdwigZUM,Centro,"R. São Joaquim, 191 - Liberdade, São Paulo - SP, 01508-001, Brazil",-23.561638,-46.6368481
ChIJlTfyNjNYzpQR-GqbbXf3QLc,Centro,"R. Augusta, 1343 - Consolação, São Paulo - SP, 01305-100, Brazil",-23.5557678,-46.6574468
ChIJ_VPJGbxTzpQRKc397kmaRPc,Outro,"R. Chico Mendes, 105 - Jardim Margarida, Taboão da Serra - SP, 06786-080, Brazil",-23.6275555,-46.8124232
ChIJjbffWgRGzpQRf2F0o_XBXwM,Sul,"Estrada Ligação, 74 - Jardim Monte Verde, São Paulo - SP, 04851-501, Brazil",-23.755743,-46.6640823
ChIJHwiD1VBYzpQRl1Hj2kZBJu0,Centro,"R. Antônio de Godói, 128 - Centro Histórico de São Paulo, São Paulo - SP, 01031-001, Brazil",-23.5418307,-46.6369991
ChIJ7Ye24uRXzpQRU9LExQl_5GM,Oeste,"Rua Desembargador do Vale, 50 - Perdizes, São Paulo - SP, 05010-040, Brazil",-23.5334723,-46.6820297
ChIJ2Tf8UrEdzpQRPHW2oHflQSU,Outro,"Av. Brasil, 295 - Boqueirão, Praia Grande - SP, 11701-090, Brazil",-24.0097507,-46.4151543
ChIJJbZy-eJXzpQRTboswSgLJX0,Oeste,"R. Cotoxó, 110 - Pompeia, São Paulo - SP, 05021-000, Brazil",-23.5284092,-46.6824556
ChIJ0xa4iOABzpQRcVhyBrab-E8,Outro,"R. Manoel Araújo, 369 - Vila Santo Antônio, Guarujá - SP, 11432-390, Brazil",-23.9874162,-46.2675265
ChIJY5jcW75YzpQRnb6aE8ef-9w,Norte,"R. Doze de Setembro, 481 - Vila Guilherme, São Paulo - SP, 02052-000, Brazil",-23.5176672,-46.6105374
ChIJwYH8Pv9YzpQRsWlsCHK6gQ8,Centro,"R. da Cantareira, 120 - Centro Histórico de São Paulo, São Paulo - SP, 01024-000, Brazil",-23.5431179,-46.6305137
ChIJYXmo1MdZzpQRLxnXxWeaLiI,Oeste,"Av. Paulista, 1159 - Loja 21 - Bela Vista, São Paulo - SP, 01310-100, Brazil",-23.5646198,-46.6535726
ChIJfcuJXcqJzJQRZwO96jHpdhk,Outro,"Av. Dr. Januário Miraglia, 2696 - V Telma, Campos do Jordão - SP, 12460-000, Brazil",-22.7300753,-45.58243
ChIJAQDQrjOYpgARjNpL_GcfP18,Outro,"R. Antônio de Albuquerque, 862 - Funcionários, Belo Horizonte - MG, 30112-011, Brazil",-19.9373699,-43.938422
ChIJaW0BBQBRzpQRyvVRhbngUtk,Sul,"R. Cerqueira César, 335 - Santo Amaro, São Paulo - SP, 04750-080, Brazil",-23.6501145,-46.7096212
ChIJ5XwKfcmJzJQRRlsb_-K8VQ0,Outro,"R. Dep. Claro César, 15 - Vila Telma, Campos do Jordão - SP, 12460-000, Brazil",-22.7357454,-45.5860244
ChIJk75Rn88Dz5QRUmmqbXtg4Ug,Outro,"R. Independência, 15 - Vila Boa Vista, Barueri - SP, 06411-050, Brazil",-23.5039835,-46.8726968
ChIJOWpmNwXVmwARAerbOcgrZLE,Outro,"R. Visc. de Pirajá, 303 - loja 319 - Ipanema, Rio de Janeiro - RJ, 22040-001, Brazil",-22.9844983,-43.2043511
ChIJnQuaS6dXzpQRdJ_Bk-VLcIo,Oeste,"Rua Cardeal Arcoverde, 2773 - Pinheiros, São Paulo - SP, 05407-004, Brazil",-23.56814,-46.69487
ChIJzXOTr3F6zpQREonFacwk8sg,Outro,"R. Tiradentes, 34 - Conj. Res. Irai, Suzano - SP, 08673-150, Brazil",-23.5422354,-46.3116086
ChIJGwycOXNXzpQR_DOWfX0PAfk,Oeste,"Shopping Vitrine, Av. Brg. Faria Lima, 1827 - Loja 46/47 - Jardim Paulistano, São Paulo - SP, 01452-001, Brazil",-23.572911,-46.688707
ChIJWwr1weBQzpQRRbgL43Cbh5I,Sul,"Rua Alexandre Dumas, 1511 - Santo Amaro, São Paulo - SP, 04717-003, Brazil",-23.631469,-46.705459
ChIJT2hqm6NXzpQRrtvbTCDo_OM,Oeste,"R. Cunha Gago, 814 - Pinheiros, São Paulo - SP, 05421-001, Brazil",-23.5619767,-46.6939986
ChIJl5gYIPofzpQRHYBK-sTjfIA,Outro,"Av. Pres. Kennedy, 6939 - Cidade Ocian, Praia Grande - SP, 11704-105, Brazil",-24.0243583,-46.4749455
ChIJ5y4kLmwDzpQRmWL0QjyMpWA,Outro,"R. Carvalho de Mendonça, 352 - Vila Belmiro, Santos - SP, 11070-103, Brazil",-23.9530622,-46.3351778
ChIJCSATGsUY35QRfKsA2-RcpDM,Outro,"R. Dr. Amadeu da Luz, 40 - Centro, Blumenau - SC, 89010-160, Brazil",-26.9153132,-49.0699283
ChIJA106w3dXzpQR8LrzPvJJyNg,Oeste,"R. dos Pinheiros, 355 - Pinheiros, São Paulo - SP, 05422-010, Brazil",-23.5653484,-46.6814729
ChIJzVK5uQ9azpQRa5TUUr5dz4s,Sul,"Av. Jandira, 248 - Moema, São Paulo - SP, 04080-007, Brazil",-23.6072471,-46.6623559
ChIJBw5NfFJgzpQRqg20dUIKLOI,Leste,"Av. Paranaguá, 2352 - Ermelino Matarazzo, São Paulo - SP, 03806-000, Brazil",-23.4856611,-46.480312
ChIJFzxh-9FhzpQRlYu07GKxEPg,Outro,"Av. Patos, 879 - Cidade Industrial Satélite de São Paulo, Guarulhos - SP, 07222-010, Brazil",-23.463105,-46.472397
ChIJZW9ooKlZzpQRpE2_1q2Udcs,Centro,"R. da Glória, 111 - Liberdade, São Paulo - SP, 01510-000, Brazil",-23.5541355,-46.6340841
ChIJd1J6HlX1zpQRrSBtZQ5IMmI,Outro,"Av. Papa Pio XII, 172 - Macedo, Guarulhos - SP, 07113-000, Brazil",-23.4674389,-46.5176639
ChIJ73dkTbtgzpQRu9KamYVtR3E,Leste,"Av. Antônio Estevão de Carvalho, 1588 - Cidade Patriarca, São Paulo - SP, 03540-100, Brazil",-23.5281281,-46.5082724
ChIJu4l6ek30tZQRjTzb2STLprI,Outro,"R. Antônio Pedro de Oliveira, 979 - Vila Betania II, Alfenas - MG, 37130-000, Brazil",-21.4186924,-45.9521347
ChIJGQrHUAlazpQR_0QoODi34E4,Sul,"Alameda dos Jurupis, 1577 - Moema, São Paulo - SP, 04088-005, Brazil",-23.6112088,-46.6661397
ChIJe2FMORenmQARliqj3365oTc,Outro,"Shopping D. Pedro II, Rua do Imperador, nº 288 - sobreloja 1 - Centro, Petrópolis - RJ, 25620-000, Brazil",-22.5082792,-43.172707
ChIJ7c6iLMlZzpQRNEkAv1Nfd44,Oeste,"Av. Paulista, 1499 - Bela Vista, São Paulo - SP, 01310-100, Brazil",-23.5624469,-46.6559816
ChIJkQMZowpXzpQRflk4aBWytws,Oeste,"R. dos Pinheiros, 1363 - Pinheiros, São Paulo - SP, 05422-012, Brazil",-23.5682265,-46.6909007
ChIJl1-TCg1fzpQReolH5hXG8-8,Leste,"R. Comendador Cantinho, 435 - Penha de França, São Paulo - SP, 03603-020, Brazil",-23.5246802,-46.5501657
ChIJoVhEXAtZzpQRJCPYwI3nZvo,Centro,"R. Nestor Pestana, 109 - Consolação, São Paulo - SP, 01303-010, Brazil",-23.5484881,-46.6453276
ChIJ9SymEm6LzpQRqPCEF0SstdA,Outro,"Sao Paulo International Airport, Piso Térreo, SP-019, s/n - Cumbica, Guarulhos - SP, 07190-100, Brazil",-23.4261196,-46.481447
ChIJ5_s8IHtZzpQRogxM7GDdJFc,Centro,"Av. Lins de Vasconcelos, 1370 - Cambuci, São Paulo - SP, 01538-001, Brazil",-23.5754223,-46.6235089
ChIJ01_spJFZzpQRqrIza3aV6iU,Sul,"Rua Coronel Oscar Porto, 1082 - Paraíso, São Paulo - SP, 04003-005, Brazil",-23.5784894,-46.6448163
ChIJVXVFNjJYzpQRqyWHMYK1C18,Centro,"R. Fernando de Albuquerque, 277 - Consolação, São Paulo - SP, 01309-030, Brazil",-23.5532048,-46.6588429
ChIJn8NM579QzpQRWT06N8pdDgQ,Oeste,"Rua Jataituba, 29 - Cidade Monções, São Paulo - SP, 04704-090, Brazil",-23.6239624,-46.6886719
ChIJwePGXU9XzpQRYTbjbYcmiSg,Oeste,"Rua Feliciana Panieri Ricco, 38 - Vila Olímpia, São Paulo - SP, 04551-020, Brazil",-23.5947893,-46.6841005
ChIJ8fhlMelbzpQROHh5INSx6uY,Sul,"R. Xavier de Almeida, 406 - Ipiranga, São Paulo - SP, 04211-000, Brazil",-23.58952,-46.6083439
ChIJ15_vxKRXzpQR7q5wWc0L3oM,Oeste,"R. Padre Carvalho, 117 - Pinheiros, São Paulo - SP, 05427-100, Brazil",-23.5608492,-46.6963792
ChIJOxDKZecDzpQRzu_YYUBdOb4,Outro,"Av. Dr. Pedro Lessa, 1034 - Ponta da Praia, Santos - SP, 11025-000, Brazil",-23.975202,-46.302663
ChIJ1faqFVRYzpQREQql76sHeE0,Centro,"Av. São João, 128 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000, Brazil",-23.5446757,-46.6357951
ChIJT1JB8_RczpQRmHfeUAtXU5I,Outro,"R. Herculano de Freitas, 323 - Fundação, São Caetano do Sul - SP, 09520-280, Brazil",-23.606215,-46.571525
ChIJfUd9M29XzpQRXVbYNG3rM00,Oeste,"Avenida Cidade Jardim, 53 Jardim Europa, Itaim Bibi, São Paulo - SP, 01453-000, Brazil",-23.5786859,-46.6815131
ChIJhfs_dalZzpQRwxP5_vUk5nc,Centro,"R. da Glória, 86 - Liberdade, São Paulo - SP, 01503-000, Brazil",-23.5539505,-46.6344393
ChIJicTSNihazpQRFuUy2Fp4VUA,Sul,"R. Humberto I, 1070 - Vila Mariana, São Paulo - SP, 04018-033, Brazil",-23.5890578,-46.6396744
ChIJMaRh86VXzpQRj-xjIUJe4_Q,Oeste,"R. Costa Carvalho, 533 - Pinheiros, São Paulo - SP, 05429-130, Brazil",-23.5646999,-46.6991647
ChIJx1tK4aRlzpQRSYIMzogk75g,Leste,"torre A, R. Augusto Carlos Bauman, 206 - apartamento 126 - Itaquera, São Paulo - SP, 08255-010, Brazil",-23.535013,-46.4511905
ChIJqXw5Nfr_zpQRhLF4T2JH01E,Outro,"Av: Dos Autonomistas, 1828 - Vila Yara, Osasco - SP, 06020-010, Brazil",-23.5357347,-46.7712766
ChIJq6ontqBXzpQRnNcv1srOl_A,Oeste,"R. Teodoro Sampaio, 2793 - Pinheiros, São Paulo - SP, 05405-250, Brazil",-23.5676823,-46.6942765
ChIJGw3R6HdazpQR2GBaZdGv7RQ,Sul,"R. Sônia Ribeiro, 33 - Campo Belo, São Paulo - SP, 04620-020, Brazil",-23.6262143,-46.669618
ChIJmaIvAgNazpQR0z0yYoVBpaY,Sul,"R. Gaivota, 168 - Moema, São Paulo - SP, 04522-030, Brazil",-23.5985187,-46.6630871
ChIJ526RwgZ9zpQReIWMZvz6coc,Outro,"Estr. de Santa Isabel, 6951 - Jardim Nascente, Itaquaquecetuba - SP, 08586-415, Brazil",-23.4356226,-46.3272521
ChIJyVVQiJRRzpQR_PHTpjV9R6M,Sul,"Rua Gabrielle D'anunnzio, 1334, Rua Gabriele D'Annunzio, 1334 - Campo Belo, São Paulo - SP, 04619-004, Brazil",-23.6264041,-46.6719063
ChIJVXWztQRDzpQRDJlrroOItZE,Outro,"Av. Winston Churchill, 480 - Vila Caminho do Mar, São Bernardo do Campo - SP, 09613-000, Brazil",-23.6712017,-46.5637207
ChIJ5-HZeYdBzpQRiZXbTSH7ul8,Outro,"R. Dr. Fláquer, 571 - Centro, São Bernardo do Campo - SP, 09710-180, Brazil",-23.7087905,-46.5478091
ChIJ9QOMgJ9azpQRe9MQcUXf0gM,Sul,"R. Dr. Djalma Pinheiro Franco, 985 - Jardim Prudência, São Paulo - SP, 04362-000, Brazil",-23.655197,-46.6682793
ChIJCzHKyyxZzpQRDIEmXRewBGI,Leste,"R. Cajuru, 1164 - Belem, São Paulo - SP, 03057-000, Brazil",-23.5402177,-46.5936186
ChIJE2-mDH8DzpQRKj9D3grPSEc,Outro,"Av. São Francisco, 210/212 - Centro, Santos - SP, 11013-202, Brazil",-23.9375947,-46.3259565
ChIJQa7iAElYzpQRb5OWe0n_1VY,Centro,"R. Cunha Horta, 70 - Consolação, São Paulo - SP, 01221-030, Brazil",-23.5461076,-46.6486365
ChIJeboeVl5DzpQR0dNQjRmAm-c,Outro,"Av. Pereira Barreto, 42 - Paraíso, Santo André - SP, 09190-210, Brazil",-23.667704,-46.53375
ChIJk6oq82ZYzpQRswoYjV1ytDU,Centro,"R. Newton Prado, 45 - Bom Retiro, São Paulo - SP, 01127-000, Brazil",-23.5272026,-46.6386859
ChIJ-YUOABh2zpQRNT9enWRaKbg,Outro,"Av. Japão, 5870 - Jardim Aeroporto II, Mogi das Cruzes - SP, 08743-540, Brazil",-23.57371,-46.2192908
ChIJ272BfFD1zpQR7fWMwtQnwfs,Outro,"R. Tapajós, 124 - Jardim Barbosa, Guarulhos - SP, 07111-340, Brazil",-23.4649111,-46.5253389
ChIJSReWN-BXzpQRnczEqxxpsFY,Oeste,"Rua Tabapuã, 830 - Itaim Bibi, São Paulo - SP, 04533-003, Brazil",-23.5837344,-46.6786817
ChIJYdY4ZvTXzZQRWgM5jbD_bY8,Outro,"Av. Pref. Carlos Ferreira Lopes, 208 - Vila Mogilar, Mogi das Cruzes - SP, 08773-490, Brazil",-23.5046206,-46.193014
ChIJt4L_q_hYzpQRGCLEl3Q5f6U,Centro,"R. Comendador Abdo Schahin, 238 - Centro Histórico de São Paulo, São Paulo - SP, 01023-050, Brazil",-23.5421518,-46.6316219
ChIJw8A9BFFYzpQRyf3Mmt8uwq4,Centro,"Lg. do Paissandú, 27 - Centro Histórico de São Paulo, São Paulo - SP, 01034-010, Brazil",-23.5428814,-46.6388295
ChIJRx3ClMdWzpQRW8n_1_Lphm8,Outro,"R. das Figueiras, 1050 - Jardim, Santo André - SP, 09080-300, Brazil",-23.6481681,-46.5400963
ChIJX5TN42hXzpQRBeNZ59YSKNE,Oeste,"Av. Nove de Julho, 5925 - Itaim Bibi, São Paulo - SP, 04536-040, Brazil",-23.5809642,-46.6816689
ChIJPcPs0lQQyZQRf1Ql9KEBODE,Outro,"R. Rio de Janeiro, 403 - Vila Beatriz, Águas de Lindóia - SP, 13940-000, Brazil",-22.4773056,-46.632006
ChIJMX0Nd4jfmwARmxVWsfSggPs,Outro,"R. Figueiredo Camargo, 331 - Bangu, Rio de Janeiro - RJ, 21875-020, Brazil",-22.8715926,-43.4550227
ChIJq6oGJ-H3zpQRezSvQ3j94Lw,Norte,"Av. Braz Leme, 201 - Casa Verde, São Paulo - SP, 02511-000, Brazil",-23.5127429,-46.6537506
ChIJjScwFkT1zpQR9IoSNwF5VTc,Outro,"R. Josephina Mandotti, 274 - Jardim Maia, Guarulhos - SP, 07115-080, Brazil",-23.460364,-46.52953
ChIJwel_9pxdzpQRmMcgiLb9tZk,Leste,"Av. da Barreira Grande, 687 - Jardim Galli, São Paulo - SP, 03386-000, Brazil",-23.5842085,-46.5281626
ChIJlz-f8BpYzpQRRuDF8CBSnAE,Oeste,"L. Padre Péricles, 139 - Perdizes, São Paulo - SP, 01156-040, Brazil",-23.5315328,-46.6636827
ChIJa0t8x49XzpQRD14YlFxwq7g,Sul,"Praça Oswaldo Cruz, 26 - Paraíso, São Paulo - SP, 04004-070, Brazil",-23.5715186,-46.6436059
ChIJu-gx2e9hmQARCfg2LKfBVmM,Outro,"R. Barra do Corda - Bangu, Rio de Janeiro - RJ, 21875-240, Brazil",-22.8698515,-43.452223
ChIJQaA7JiJazpQRJiXU_qDLdJ0,Sul,"R. Borges Lagoa, 1321 - Vila Clementino, São Paulo - SP, 04038-034, Brazil",-23.5966367,-46.6496068
ChIJz36TCeJZzpQR4vkgCNah0Dw,Centro,"Av. Ipiranga, 344 - 41º andar - República, São Paulo - SP, 01046-010, Brazil",-23.5455222,-46.6437389
ChIJF4g6k0xYzpQRt-eBJ-ets84,Oeste,"R. Casa do Ator, 608 - Itaim Bibi, São Paulo - SP, 04546-002, Brazil",-23.5984485,-46.6790978
ChIJWZPI3VdXzpQR_CepIUcb0to,Sul,"R. Jacques Félix, 253 - Vila Nova Conceição, São Paulo - SP, 04509-000, Brazil",-23.5904605,-46.6707187
ChIJTygCU5_1zpQRJCxxsiXSTqM,Sul,"Praça Nossa Sra. Aparecida, 113 - Moema, São Paulo - SP, 04075-010, Brazil",-23.6030827,-46.6602769
ChIJpWMvtFbPyJQROBgvdL4VMaI,Outro,"R. dos Bandeirantes, 313 - Cambuí, Campinas - SP, 13024-010, Brazil",-22.892301,-47.05241
ChIJv5CU_kFXzpQRAD-4fc89qPA,Oeste,"R. Dr. Mário Ferraz, 528 - Itaim Bibi, São Paulo - SP, 01453-011, Brazil",-23.5850694,-46.6854471
ChIJq6r-cw8DzpQRAYqmeLgqpCI,Outro,"R. José Caballero, 36 - Gonzaga, Santos - SP, 11055-300, Brazil",-23.9643179,-46.3309701
ChIJn_vck47j3JQRAp0-oujzOFg,Outro,"Av. do Batel, 1868 - Loja 405 - Batel, Curitiba - PR, 80420-090, Brazil",-25.4428904,-49.2916267
ChIJtzPt_47j3JQRAUmR8xhZOdA,Outro,"R. Gonçalves Dias, 51 - Batel, Curitiba - PR, 80240-340, Brazil",-25.4449589,-49.29155
ChIJ78fhdpCKzpQRRYzvCqiKt0g,Outro,"Rod. Hélio Smidt, s/n - Cumbica, Guarulhos - SP, 07190-100, Brazil",-23.4502321,-46.4889862
ChIJbzGqHDFYzpQR2Kw1Tf1PtzM,Centro,"R. Mato Grosso, 396 - Consolação, São Paulo - SP, 01239-040, Brazil",-23.5504421,-46.6592171
ChIJP-UPbzRYzpQRdxqmmSZbSY4,Oeste,"R. Bela Cintra, 2238 - Jardim Paulista, São Paulo - SP, 01415-002, Brazil",-23.5636577,-46.6697645
ChIJb3DBGe9bzpQRIXK1vMiJCgY,Sul,"Rua Costa Aguiar, 1586 - Ipiranga, São Paulo - SP, 04204-001, Brazil",-23.5880113,-46.6064134
ChIJJe5aAvhbzpQRG--n0g6O0hU,Leste,"R. Cap. Pacheco e Chaves, 313 - Mooca, São Paulo - SP, 03126-000, Brazil",-23.5787464,-46.5952173
ChIJMSQ2sEFRzpQRTPlxQHw7bxQ,Sul,"Av. das Nações Unidas, 14401 - Chácara Santo Antônio (Zona Sul), São Paulo - SP, 04794-000, Brazil",-23.6252786,-46.706819
ChIJ6zbQyyoZ35QRsn9HXi1ix1w,Outro,"R. Benjamin Constant, 2469 - Vila Nova, Blumenau - SC, 89035-100, Brazil",-26.9039398,-49.0935871
ChIJH5Va0nlXzpQR2ObHRfI06xI,Oeste,"R. Joaquim Antunes, 198 - Pinheiros, São Paulo - SP, 05415-000, Brazil",-23.5663074,-46.6795072
ChIJk53J9_PL2JQRORVNSJY8w8Q,Outro,"Av. Sete de Setembro, 1307 - Fazenda, Itajaí - SC, 88301-205, Brazil",-26.917536,-48.654651
ChIJuWw_My3PyJQRXiQjcjwoGx0,Outro,"Av. Marechal Carmona, 738 - Vila Joao Jorge, Campinas - SP, 13041-311, Brazil",-22.9199476,-47.0585163
